n,xl,xr,f(x1),f(x2),Reduction Ratio
0,-2.5,2.5,35.46875,-25.46875,0.38197
1,-0.59017,2.5,17.75958602939754,-7.759586029397541,0.38197
2,0.59017,2.5,-7.759586029397541,-28.881853783044733,0.23607
3,1.31966,2.5,-28.881853783044733,-40.76263224910102,0.1459
4,1.77051,2.5,-40.76263224910102,-42.874998119071016,0.09017
5,1.77051,2.22136,-42.874998119071016,-40.145824016139265,0.05573
6,1.94272,2.22136,-42.842415906493486,-42.874998119071016,0.03444
7,1.94272,2.11493,-42.874998119071016,-42.28467773047028,0.02129
8,1.94272,2.04915,-42.99636838205938,-42.87499811907103,0.01316
9,1.98337,2.04915,-42.98633597140005,-42.99636838205938,0.00813
10,1.98337,2.02403,-42.99636838205938,-42.97065047513563,0.00502
11,1.98337,2.0085,-42.999939586837,-42.99636838205938,0.00311
12,1.99297,2.0085,-42.997540399940874,-42.999939586837,0.00192
13,1.99297,2.00257,-42.999939586837,-42.999670238949804,0.00119
14,1.99663,2.00257,-42.9994349883619,-42.999939586837,0.00073
15,1.9989,2.00257,-42.999939586837,-42.99999550205437,0.00045
16,1.9989,2.00117,-42.99999550205437,-42.999931934250476,0.00028
17,1.9989,2.0003,-42.99999728003584,-42.99999550205437,0.00017
18,1.99943,2.0003,-42.9999839615041,-42.99999728003584,0.00011
19,1.99977,2.0003,-42.99999728003584,-42.99999994448275,7e-05
20,1.99977,2.0001,-42.99999994448276,-42.9999995002982,4e-05
21,1.9999,2.0001,-42.99999950036813,-42.99999994448276,3e-05
22,1.9999,2.00003,-42.99999994448276,-42.99999994448017,1e-05
23,1.99997,1.99997,-42.99999994448275,-42.99999994448275,0.0
24,1.99997,1.99997,-42.99999994448275,-42.99999994448275,0.0
n,xl,xr,f(x1),f(x2),Reduction Ratio
0,-2.5,2.5,35.46875,-25.46875,0.38197
1,-0.59017,2.5,17.75958602939754,-7.759586029397541,0.38197
2,0.59017,2.5,-7.759586029397541,-28.881853783044733,0.23607
3,1.31966,2.5,-28.881853783044733,-40.76263224910102,0.1459
4,1.77051,2.5,-40.76263224910102,-42.874998119071016,0.09017
5,1.77051,2.22136,-42.874998119071016,-40.145824016139265,0.05573
6,1.94272,2.22136,-42.842415906493486,-42.874998119071016,0.03444
7,1.94272,2.11493,-42.874998119071016,-42.28467773047028,0.02129
8,1.94272,2.04915,-42.99636838205938,-42.87499811907103,0.01316
9,1.98337,2.04915,-42.98633597140005,-42.99636838205938,0.00813
10,1.98337,2.02403,-42.99636838205938,-42.97065047513563,0.00502
11,1.98337,2.0085,-42.999939586837,-42.99636838205938,0.00311
12,1.99297,2.0085,-42.997540399940874,-42.999939586837,0.00192
13,1.99297,2.00257,-42.999939586837,-42.999670238949804,0.00119
14,1.99663,2.00257,-42.9994349883619,-42.999939586837,0.00073
15,1.9989,2.00257,-42.999939586837,-42.99999550205437,0.00045
16,1.9989,2.00117,-42.99999550205437,-42.999931934250476,0.00028
17,1.9989,2.0003,-42.99999728003584,-42.99999550205437,0.00017
18,1.99943,2.0003,-42.9999839615041,-42.99999728003584,0.00011
19,1.99977,2.0003,-42.99999728003584,-42.99999994448275,7e-05
20,1.99977,2.0001,-42.99999994448276,-42.9999995002982,4e-05
21,1.9999,2.0001,-42.99999950036813,-42.99999994448276,3e-05
22,1.9999,2.00003,-42.99999994448276,-42.99999994448017,1e-05
23,1.99997,1.99997,-42.99999994448275,-42.99999994448275,0.0
24,1.99997,1.99997,-42.99999994448275,-42.99999994448275,0.0
n,xl,xr,f(x1),f(x2),Reduction Ratio
0,-2.5,2.5,35.46875,-25.46875,0.38197
1,-0.59017,2.5,17.75958602939754,-7.759586029397541,0.38197
2,0.59017,2.5,-7.759586029397541,-28.881853783044733,0.23607
3,1.31966,2.5,-28.881853783044733,-40.76263224910102,0.1459
4,1.77051,2.5,-40.76263224910102,-42.874998119071016,0.09017
5,1.77051,2.22136,-42.874998119071016,-40.145824016139265,0.05573
6,1.94272,2.22136,-42.842415906493486,-42.874998119071016,0.03444
7,1.94272,2.11493,-42.874998119071016,-42.28467773047028,0.02129
8,1.94272,2.04915,-42.99636838205938,-42.87499811907103,0.01316
9,1.98337,2.04915,-42.98633597140005,-42.99636838205938,0.00813
10,1.98337,2.02403,-42.99636838205938,-42.97065047513563,0.00502
11,1.98337,2.0085,-42.999939586837,-42.99636838205938,0.00311
12,1.99297,2.0085,-42.997540399940874,-42.999939586837,0.00192
13,1.99297,2.00257,-42.999939586837,-42.999670238949804,0.00119
14,1.99663,2.00257,-42.9994349883619,-42.999939586837,0.00073
15,1.9989,2.00257,-42.999939586837,-42.99999550205437,0.00045
16,1.9989,2.00117,-42.99999550205437,-42.999931934250476,0.00028
17,1.9989,2.0003,-42.99999728003584,-42.99999550205437,0.00017
18,1.99943,2.0003,-42.9999839615041,-42.99999728003584,0.00011
19,1.99977,2.0003,-42.99999728003584,-42.99999994448275,7e-05
20,1.99977,2.0001,-42.99999994448276,-42.9999995002982,4e-05
21,1.9999,2.0001,-42.99999950036813,-42.99999994448276,3e-05
22,1.9999,2.00003,-42.99999994448276,-42.99999994448017,1e-05
23,1.99997,1.99997,-42.99999994448275,-42.99999994448275,0.0
24,1.99997,1.99997,-42.99999994448275,-42.99999994448275,0.0
n,xl,xr,f(x1),f(x2),Reduction Ratio
0,-2.5,2.5,35.46875,-25.46875,0.38197
1,-0.59017,2.5,17.75958602939754,-7.759586029397541,0.38197
2,0.59017,2.5,-7.759586029397541,-28.881853783044733,0.23607
3,1.31966,2.5,-28.881853783044733,-40.76263224910102,0.1459
4,1.77051,2.5,-40.76263224910102,-42.874998119071016,0.09017
5,1.77051,2.22136,-42.874998119071016,-40.145824016139265,0.05573
6,1.94272,2.22136,-42.842415906493486,-42.874998119071016,0.03444
7,1.94272,2.11493,-42.874998119071016,-42.28467773047028,0.02129
8,1.94272,2.04915,-42.99636838205938,-42.87499811907103,0.01316
9,1.98337,2.04915,-42.98633597140005,-42.99636838205938,0.00813
10,1.98337,2.02403,-42.99636838205938,-42.97065047513563,0.00502
11,1.98337,2.0085,-42.999939586837,-42.99636838205938,0.00311
12,1.99297,2.0085,-42.997540399940874,-42.999939586837,0.00192
13,1.99297,2.00257,-42.999939586837,-42.999670238949804,0.00119
14,1.99663,2.00257,-42.9994349883619,-42.999939586837,0.00073
15,1.9989,2.00257,-42.999939586837,-42.99999550205437,0.00045
16,1.9989,2.00117,-42.99999550205437,-42.999931934250476,0.00028
17,1.9989,2.0003,-42.99999728003584,-42.99999550205437,0.00017
18,1.99943,2.0003,-42.9999839615041,-42.99999728003584,0.00011
19,1.99977,2.0003,-42.99999728003584,-42.99999994448275,7e-05
20,1.99977,2.0001,-42.99999994448276,-42.9999995002982,4e-05
21,1.9999,2.0001,-42.99999950036813,-42.99999994448276,3e-05
22,1.9999,2.00003,-42.99999994448276,-42.99999994448017,1e-05
23,1.99997,1.99997,-42.99999994448275,-42.99999994448275,0.0
24,1.99997,1.99997,-42.99999994448275,-42.99999994448275,0.0
